qd1,qd2,phrase1,phrase2,label
1037,1038,come on maury,caddy said,faulkner
1039,1040,they got company tonight,versh said,faulkner
1041,1042,how do you know,caddy said,faulkner
1043,1044,with all them lights on,versh said,faulkner
1045,1046,light in every window,i reckon we can turn all the lights on without company if we want to,faulkner
1047,1048,caddy said,i bet it is company,faulkner
1049,1050,versh said,you all befter go in the back and slip upstairs,faulkner
1051,1052,i dont care,caddy said,faulkner
1053,1054,i will walk right in the parlor where they are,i bet your pappy whip you if you do,faulkner
1055,1056,versh said,i dont care,faulkner
1057,1058,caddy said,i will walk right in the parlor,faulkner
1059,1060,i will walk right in the dining room and eat supper,where you sit,faulkner
1061,1062,versh said,i had sit in damuddy is chair,faulkner
1063,1064,caddy said,she eats in bed,faulkner
1065,1066,i am hungry,jason said,faulkner
1067,1068,he passed us and ran on up the walk,he had his hands in his pockets and he fell down,faulkner
1069,1070,versh went and picked him up,if you keep them hands out your pockets you could stay on your feet,faulkner
1071,1072,versh said,you cant never get them out in time to catch yourself fat as you is,faulkner
1073,1074,father was standing by the kitchen steps,where is quentin,faulkner
1075,1076,he said,he coming up the walk,faulkner
1077,1078,versh said,quentin was coming slow,faulkner
1079,1080,his shirt was a white blur,oh,faulkner
1081,1082,father said,light fell down the steps on him,faulkner
1083,1084,caddy and quentin threw water on each other,jason said,faulkner
1085,1086,we waited,they did,faulkner
1087,1088,father said,quentin came and father said you can eat supper in the kitchen tonight,faulkner
1089,1090,he stooped and took me up and the light came tumbling down the steps on me too and i could look down at caddy and jason and quentin and versh,father turned toward the steps,faulkner
1091,1092,you must be quiet though,he said,faulkner
1093,1094,why must we be quiet father,caddy said,faulkner
1095,1096,have we got company,yes,faulkner
1097,1098,father said,i told you they was company,faulkner
1099,1100,versh said,you did not,faulkner
1101,1102,caddy said,i was the one that said there was,faulkner
1103,1104,i said i would  hush,father said,faulkner
1105,1106,they hushed and father opened the door and we crossed the back porch and went in to the kitchen,dilsey was there and father put me in the chair and closed the apron down and pushed it to the table where supper was,faulkner
1107,1108,it was steaming up,you mind dilsey now,faulkner
1109,1110,father said,dont let them make any more noise than they can help dilsey,faulkner
1111,1112,yes sir,dilsey said,faulkner
1113,1114,father went away,remember to mind dilsey now,faulkner
1115,1116,he said behind us,i leaned my face over where the supper was,faulkner
1117,1118,it steamed up on my face,let them mind me tonight father,faulkner
1119,1120,caddy said,i wont,faulkner
1121,1122,jason said,i am going to mind dilsey,faulkner
1123,1124,you will have to if father says so,caddy said,faulkner
1125,1126,let them mind me father,i wont,faulkner
1127,1128,jason said,i wont mind you,faulkner
1129,1130,hush,father said,faulkner
1131,1132,you all mind caddy then,when they are done bring them up the back stairs dilsey,faulkner
1133,1134,yes sir,dilsey said,faulkner
1135,1136,there,caddy said,faulkner
1137,1138,now i guess you will mind me,you all hush now,faulkner
1139,1140,dilsey said,you got to be quiet tonight,faulkner
1141,1142,why do we have to be quiet tonight,caddy whispered,faulkner
1143,1144,never you mind,dilsey said,faulkner
1145,1146,you will know in the lawd is own time,she brought my bowl,faulkner
1147,1148,the steam from it came and tickled my face,come here versh,faulkner
1149,1150,dilsey said,when is the lawd is own time dilsey,faulkner
1151,1152,caddy said,it is sunday,faulkner
1153,1154,quentin said,dont you know anything,faulkner
1155,1156,shhhhhh,dilsey said,faulkner
1157,1158,did not mr jason say for you all to be quiet,eat your supper now,faulkner
1159,1160,here versh,git his spoon,faulkner
1161,1162,versh is hand came with the spoon into the bowl,the spoon came up to my mouth,faulkner
1163,1164,the steam tickled into my mouth,then we quit eating and we looked at each other and we were quiet and then we heard it again and i began to cry,faulkner
1165,1166,what was that,caddy said,faulkner
1167,1168,she put her hand on my hand,that was mother,faulkner
1169,1170,quentin said,the spoon came up and i ate then i cried again,faulkner
1171,1172,hush,caddy said,faulkner
1173,1174,but i did not hush and she came and put her arms around me,dilsey went and closed both the doors and then we could not hear it,faulkner
1175,1176,hush now,caddy said,faulkner
1177,1178,i hushed and ate,quentin was not eating but jason was,faulkner
1179,1180,that was mother,quentin said,faulkner
1181,1182,he got up,you set right down,faulkner
1183,1184,dilsey said,they got company in there and you in them muddy clothes,faulkner
1185,1186,you set down too caddy and get done eating,she was crying,faulkner
1187,1188,quentin said,it was somebody singing,faulkner
1189,1190,caddy said,was not it dilsey,faulkner
1191,1192,you all eat your supper now like mr jason said,dilsey said,faulkner
1193,1194,you will know in the lawd is own time,caddy went back to her chair,faulkner
1195,1196,i told you it was a party,she said,faulkner
1197,1198,versh said he done et all that,bring his bowl here,faulkner
1199,1200,dilsey said,the bowl went away,faulkner
1201,1202,dilsey,caddy said,faulkner
1203,1204,quentin is not eating his supper,has not he got to mind me,faulkner
1205,1206,eat your supper quentin,dilsey said,faulkner
1207,1208,you all got to get done and get out of my kitchen,i dont want any more supper,faulkner
1209,1210,quentin said,you have got to eat if i say you have,faulkner
1211,1212,caddy said,has not he dilsey,faulkner
1213,1214,the bowl steamed up to my face and versh is hand dipped the spoon in it and the steam tickled into my mouth,i dont want any more,faulkner
1215,1216,quentin said,how can they have a party when damuddy is sick,faulkner
1217,1218,they will have it down stairs,caddy said,faulkner
1219,1220,she can come to the landing and see it,that is what i am going to do when i get my nightie on,faulkner
1221,1222,mother was crying,quentin said,faulkner
1223,1224,was not she crying dilsey,dont you come pestering at me boy,faulkner
1225,1226,dilsey said,i got to get supper for all them folks soon as you all get done eating,faulkner
1227,1228,after a while even jason was through eating and he began to cry,now you got to tune up,faulkner
1229,1230,dilsey said,he does it every night since damuddy was sick and he cant sleep with her,faulkner
1231,1232,caddy said,cry baby,faulkner
1233,1234,i am going to tell on you,jason said,faulkner
1235,1236,he was crying,you have already told,faulkner
1237,1238,caddy said,there is not anything else you can tell now,faulkner
1239,1240,you all needs to go to bed,dilsey said,faulkner
1241,1242,she came and lifted me down and wiped my face and hands with a warm cloth,versh can you get them up the back stairs quiet,faulkner
1243,1244,you jason shut up that crying,it is too early to go to bed now,faulkner
1245,1246,caddy said,we dont ever have to go to bed this early,faulkner
1247,1248,you is tonight,dilsey said,faulkner
1249,1250,your paw say for you to come right on up stairs when you et supper,you heard him,faulkner
1251,1252,he said to mind me,caddy said,faulkner
1253,1254,i am not going to mind you,jason said,faulkner
1255,1256,you have to,caddy said,faulkner
1257,1258,come on now,you have to do like i say,faulkner
1259,1260,make them be quiet versh,dilsey said,faulkner
1261,1262,you all going to be quiet aint you,what do we have to be so quiet for tonight,faulkner
